#SampleID	Metaphlan2_Analysis
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetia|f__Actinomycetia|g__Actinomycetia|s__Actinomycetia	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Euzebyales	2
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Euzebyales|f__Egibacteraceae	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Euzebyales|f__Egibacteraceae|g__JACCXR01	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Euzebyales|f__Egibacteraceae|g__JACCXR01|s__JACCXR01	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Euzebyales|f__Euzebyales	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Euzebyales|f__Euzebyales|g__Euzebyales	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Euzebyales|f__Euzebyales|g__Euzebyales|s__Euzebyales	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Jiangellales	3
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Jiangellales|f__Jiangellaceae	3
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Jiangellales|f__Jiangellaceae|g__Jiangellaceae	3
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Jiangellales|f__Jiangellaceae|g__Jiangellaceae|s__Jiangellaceae	3
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Motilibacterales	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Motilibacterales|f__Motilibacterales	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Motilibacterales|f__Motilibacterales|g__Motilibacterales	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Motilibacterales|f__Motilibacterales|g__Motilibacterales|s__Motilibacterales	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales	24
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__CADCTP01	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__CADCTP01|g__JACQDL01	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__CADCTP01|g__JACQDL01|s__JACQDL01	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__JAFAQI01	2
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__JAFAQI01|g__JAFAQI01	2
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__JAFAQI01|g__JAFAQI01|s__JAFAQI01	2
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Jatrophihabitantaceae	2
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Jatrophihabitantaceae|g__Jatrophihabitans	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Jatrophihabitantaceae|g__Jatrophihabitans|s__Jatrophihabitans	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Jatrophihabitantaceae|g__WQZC01	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Jatrophihabitantaceae|g__WQZC01|s__WQZC01	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Micromonosporaceae	2
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Micromonosporaceae|g__Planosporangium	2
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Micromonosporaceae|g__Planosporangium|s__Planosporangium	2
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Mycobacteriaceae	6
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Mycobacteriaceae|g__Mycobacterium	6
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium	6
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Pseudonocardiaceae	11
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Pseudonocardiaceae|g__Actinophytocola	2
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Pseudonocardiaceae|g__Actinophytocola|s__Actinophytocola	2
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Pseudonocardiaceae|g__Amycolatopsis	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Pseudonocardiaceae|g__Amycolatopsis|s__Amycolatopsis	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Pseudonocardiaceae|g__GCA-003244245	5
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Pseudonocardiaceae|g__GCA-003244245|s__GCA-003244245	5
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Pseudonocardiaceae|g__Pseudonocardiaceae	3
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Pseudonocardiaceae|g__Pseudonocardiaceae|s__Pseudonocardiaceae	3
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Propionibacteriales	10
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae	6
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioidaceae	3
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioidaceae|s__Nocardioidaceae	3
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides	3
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides	3
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae	4
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacteriaceae	3
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacteriaceae|s__Propionibacteriaceae	3
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionicimonas	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionicimonas|s__Propionicimonas sp017882685	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Streptomycetales	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Streptosporangiales	17
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae	17
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae|g__Actinoallomurus	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae|g__Actinoallomurus|s__Actinoallomurus	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae|g__Chersky-822	3
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae|g__Chersky-822|s__Chersky-822	3
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae|g__JAFARZ01	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae|g__JAFARZ01|s__JAFARZ01	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae|g__Palsa-506	5
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae|g__Palsa-506|s__Palsa-506	5
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae|g__Streptosporangiaceae	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae|g__Streptosporangiaceae|s__Streptosporangiaceae	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae|g__Trebonia	2
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae|g__Trebonia|s__Trebonia	2
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae|g__UBA9676	4
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae|g__UBA9676|s__UBA9676	4
d__Bacteria|p__Actinobacteriota|c__Rubrobacteria	2
d__Bacteria|p__Actinobacteriota|c__Rubrobacteria|o__Rubrobacterales	2
d__Bacteria|p__Actinobacteriota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteraceae	2
d__Bacteria|p__Actinobacteriota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteraceae|g__Rubrobacteraceae	1
d__Bacteria|p__Actinobacteriota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteraceae|g__Rubrobacteraceae|s__Rubrobacteraceae	1
d__Bacteria|p__Actinobacteriota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteraceae|g__SCSIO-52915	1
d__Bacteria|p__Actinobacteriota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteraceae|g__SCSIO-52915|s__SCSIO-52915	1
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia	142
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales	27
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae	27
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae|g__13-2-20CM-68-14	2
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae|g__13-2-20CM-68-14|s__13-2-20CM-68-14	2
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae|g__AC-21	1
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae|g__AC-21|s__AC-21	1
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae|g__Gaiellaceae	12
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae|g__Gaiellaceae|s__Gaiellaceae	12
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae|g__GMQP-bins7	3
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae|g__GMQP-bins7|s__GMQP-bins7	3
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae|g__JACCYG01	1
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae|g__JACCYG01|s__JACCYG01	1
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae|g__JACDER01	1
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae|g__JACDER01|s__JACDER01	1
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae|g__PALSA-600	2
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae|g__PALSA-600|s__PALSA-600	2
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae|g__PALSA-612	1
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae|g__PALSA-612|s__PALSA-612	1
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae|g__Palsa-739	3
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae|g__Palsa-739|s__Palsa-739	3
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae|g__VAXT01	1
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae|g__VAXT01|s__VAXT01	1
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales	115
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__70-9	34
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__70-9|g__70-9	21
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__70-9|g__70-9|s__70-9	21
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__70-9|g__AC-56	1
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__70-9|g__AC-56|s__AC-56	1
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__70-9|g__VAYN01	10
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__70-9|g__VAYN01|s__VAYN01	10
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__70-9|g__VGBV01	2
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__70-9|g__VGBV01|s__VGBV01	2
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae	66
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__AC-38	3
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__AC-38|s__AC-38	3
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Baekduia	4
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Baekduia|s__Baekduia	4
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Conexibacter	2
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Conexibacter|s__Conexibacter	2
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Palsa-465	16
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Palsa-465|s__Palsa-465	16
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Palsa-513	2
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Palsa-513|s__Palsa-513	2
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Palsa-744	36
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Palsa-744|s__Palsa-744	35
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Palsa-744|s__Palsa-744 sp017882375	1
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Solirubrobacteraceae	3
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Solirubrobacteraceae|s__Solirubrobacteraceae	3
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacterales	2
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacterales|g__Solirubrobacterales	2
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacterales|g__Solirubrobacterales|s__Solirubrobacterales	2
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Thermoleophilaceae	13
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Thermoleophilaceae|g__JAAYBF01	2
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Thermoleophilaceae|g__JAAYBF01|s__JAAYBF01	2
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Thermoleophilaceae|g__JACVRW01	5
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Thermoleophilaceae|g__JACVRW01|s__JACVRW01	5
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Thermoleophilaceae|g__Thermoleophilaceae	6
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Thermoleophilaceae|g__Thermoleophilaceae|s__Thermoleophilaceae	6
d__Bacteria|p__Actinobacteriota|c__UBA4738	9
d__Bacteria|p__Actinobacteriota|c__UBA4738|o__AC-67	1
d__Bacteria|p__Actinobacteriota|c__UBA4738|o__AC-67|f__AC-67	1
d__Bacteria|p__Actinobacteriota|c__UBA4738|o__AC-67|f__AC-67|g__AC-67	1
d__Bacteria|p__Actinobacteriota|c__UBA4738|o__AC-67|f__AC-67|g__AC-67|s__AC-67	1
d__Bacteria|p__Actinobacteriota|c__UBA4738|o__CADDZG01	3
d__Bacteria|p__Actinobacteriota|c__UBA4738|o__CADDZG01|f__WHSQ01	3
d__Bacteria|p__Actinobacteriota|c__UBA4738|o__CADDZG01|f__WHSQ01|g__WHSQ01	3
d__Bacteria|p__Actinobacteriota|c__UBA4738|o__CADDZG01|f__WHSQ01|g__WHSQ01|s__WHSQ01	3
d__Bacteria|p__Actinobacteriota|c__UBA4738|o__UBA4738	5
d__Bacteria|p__Actinobacteriota|c__UBA4738|o__UBA4738|f__HRBIN12	2
d__Bacteria|p__Actinobacteriota|c__UBA4738|o__UBA4738|f__HRBIN12|g__AC-51	1
d__Bacteria|p__Actinobacteriota|c__UBA4738|o__UBA4738|f__HRBIN12|g__AC-51|s__AC-51	1
d__Bacteria|p__Actinobacteriota|c__UBA4738|o__UBA4738|f__HRBIN12|g__DSRY01	1
d__Bacteria|p__Actinobacteriota|c__UBA4738|o__UBA4738|f__HRBIN12|g__DSRY01|s__DSRY01	1
d__Bacteria|p__Actinobacteriota|c__UBA4738|o__UBA4738|f__UBA4738	3
d__Bacteria|p__Actinobacteriota|c__UBA4738|o__UBA4738|f__UBA4738|g__UBA4738	3
d__Bacteria|p__Actinobacteriota|c__UBA4738|o__UBA4738|f__UBA4738|g__UBA4738|s__UBA4738	3
d__Bacteria|p__Bacteroidota	11
d__Bacteria|p__Bacteroidota|c__Bacteroidia	9
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales	6
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae	6
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__Ginsengibacter	1
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__Ginsengibacter|s__Ginsengibacter	1
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__Puia	3
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__Puia|s__Puia	3
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__VBAS01	1
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__VBAS01|s__VBAS01	1
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__VBAT01	1
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__VBAT01|s__VBAT01	1
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales	1
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cytophagaceae	1
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cytophagaceae|g__Cytophaga	1
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cytophagaceae|g__Cytophaga|s__Cytophaga	1
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Sphingobacteriales	2
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Sphingobacteriales|f__Sphingobacteriaceae	2
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Mucilaginibacter	2
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Mucilaginibacter|s__Mucilaginibacter	2
d__Bacteria|p__Bacteroidota|c__Ignavibacteria	2
d__Bacteria|p__Bacteroidota|c__Ignavibacteria|o__Ignavibacteriales	1
d__Bacteria|p__Bacteroidota|c__Ignavibacteria|o__Ignavibacteriales|f__Ignavibacteriaceae	1
d__Bacteria|p__Bacteroidota|c__Ignavibacteria|o__Ignavibacteriales|f__Ignavibacteriaceae|g__Fen-1301	1
d__Bacteria|p__Bacteroidota|c__Ignavibacteria|o__Ignavibacteriales|f__Ignavibacteriaceae|g__Fen-1301|s__Fen-1301	1
d__Bacteria|p__Bacteroidota|c__Ignavibacteria|o__SJA-28	1
d__Bacteria|p__Bacteroidota|c__Ignavibacteria|o__SJA-28|f__OLB5	1
d__Bacteria|p__Bacteroidota|c__Ignavibacteria|o__SJA-28|f__OLB5|g__OLB5	1
d__Bacteria|p__Bacteroidota|c__Ignavibacteria|o__SJA-28|f__OLB5|g__OLB5|s__OLB5	1
d__Bacteria|p__Chlamydiota	1
d__Bacteria|p__Chlamydiota|c__Chlamydiia	1
d__Bacteria|p__Chlamydiota|c__Chlamydiia|o__Chlamydiales	1
d__Bacteria|p__Chlamydiota|c__Chlamydiia|o__Chlamydiales|f__Rhabdochlamydiaceae	1
d__Bacteria|p__Chlamydiota|c__Chlamydiia|o__Chlamydiales|f__Rhabdochlamydiaceae|g__CAJCIW01	1
d__Bacteria|p__Chlamydiota|c__Chlamydiia|o__Chlamydiales|f__Rhabdochlamydiaceae|g__CAJCIW01|s__CAJCIW01	1
d__Bacteria|p__Chloroflexota	12
d__Bacteria|p__Chloroflexota|c__Chloroflexia	1
d__Bacteria|p__Chloroflexota|c__Chloroflexia|o__54-19	1
d__Bacteria|p__Chloroflexota|c__Chloroflexia|o__54-19|f__JADMIH01	1
d__Bacteria|p__Chloroflexota|c__Chloroflexia|o__54-19|f__JADMIH01|g__JADMIH01	1
d__Bacteria|p__Chloroflexota|c__Chloroflexia|o__54-19|f__JADMIH01|g__JADMIH01|s__JADMIH01	1
d__Bacteria|p__Chloroflexota|c__Dehalococcoidia	1
d__Bacteria|p__Chloroflexota|c__Dehalococcoidia|o__UBA3495	1
d__Bacteria|p__Chloroflexota|c__Dehalococcoidia|o__UBA3495|f__UBA3495	1
d__Bacteria|p__Chloroflexota|c__Dehalococcoidia|o__UBA3495|f__UBA3495|g__Casp-Chloro-G3	1
d__Bacteria|p__Chloroflexota|c__Dehalococcoidia|o__UBA3495|f__UBA3495|g__Casp-Chloro-G3|s__Casp-Chloro-G3	1
d__Bacteria|p__Chloroflexota|c__Ktedonobacteria	3
d__Bacteria|p__Chloroflexota|c__Ktedonobacteria|o__Ktedonobacterales	3
d__Bacteria|p__Chloroflexota|c__Ktedonobacteria|o__Ktedonobacterales|f__JACDGC01	1
d__Bacteria|p__Chloroflexota|c__Ktedonobacteria|o__Ktedonobacterales|f__JACDGC01|g__JACDGC01	1
d__Bacteria|p__Chloroflexota|c__Ktedonobacteria|o__Ktedonobacterales|f__JACDGC01|g__JACDGC01|s__JACDGC01	1
d__Bacteria|p__Chloroflexota|c__Ktedonobacteria|o__Ktedonobacterales|f__Ktedonobacteraceae	2
d__Bacteria|p__Chloroflexota|c__Ktedonobacteria|o__Ktedonobacterales|f__Ktedonobacteraceae|g__CF-113	2
d__Bacteria|p__Chloroflexota|c__Ktedonobacteria|o__Ktedonobacterales|f__Ktedonobacteraceae|g__CF-113|s__CF-113	2
d__Bacteria|p__Chloroflexota|c__Limnocylindria	7
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__Limnocylindrales	4
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__Limnocylindrales|f__CSP1-4	4
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__Limnocylindrales|f__CSP1-4|g__CSP1-4	1
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__Limnocylindrales|f__CSP1-4|g__CSP1-4|s__CSP1-4	1
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__Limnocylindrales|f__CSP1-4|g__Fen-1039	1
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__Limnocylindrales|f__CSP1-4|g__Fen-1039|s__Fen-1039 sp017881885	1
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__Limnocylindrales|f__CSP1-4|g__JAFMJV01	1
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__Limnocylindrales|f__CSP1-4|g__JAFMJV01|s__JAFMJV01	1
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__Limnocylindrales|f__CSP1-4|g__UBA5189	1
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__Limnocylindrales|f__CSP1-4|g__UBA5189|s__UBA5189	1
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__P2-11E	1
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__P2-11E|f__P2-11E	1
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__P2-11E|f__P2-11E|g__3-1-20CM-2-70-9	1
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__P2-11E|f__P2-11E|g__3-1-20CM-2-70-9|s__3-1-20CM-2-70-9	1
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__QHBO01	2
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__QHBO01|f__QHBO01	2
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__QHBO01|f__QHBO01|g__QHBO01	2
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__QHBO01|f__QHBO01|g__QHBO01|s__QHBO01	2
d__Bacteria|p__Cyanobacteria	1
d__Bacteria|p__Cyanobacteria|c__Vampirovibrionia	1
d__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Obscuribacterales	1
d__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Obscuribacterales|f__Obscuribacteraceae	1
